Text,Label
רציתי להזמין כרטיס טיסה עבור 3 נוסעים.,order
אני רוצה לטוס לסינגפור,order
אני רוצה להזמין כרטיס לרומא,order
האם ניתן להזמין כרטיס טיסה דרך הצ'אטבוט?,order
ברצוני להזמין כרטיס טיסה מתל אביב לניו יורק לתאריך 2024-05-01,order
באיזה מחיר ניתן להזמין כרטיס טיסה הלוך ושוב לפריז?,order
רציתי להזמין כרטיס טיסה לילד קטן.,order
ברצוני להזמין טיסה לספרד ליום חמישי,order
כמה עולה כרטיס טיסה לברצלונה?,order
אני רוצה להזמין טיסה להיום בלילה,order
בא לי 7 מושבים למדריד,order
אשמח להזמין טיסה שיוצאת עד שעה  18,order
יש טיסות הלוך לרומניה שיוצאת מחר בבוקר?,order
אני צריך שני מושבים ללונדון,order
אני רוצה לעשות הזמנה של טיסנ,order
איך מזמינים טיסה למחר בבוקר?,order
מה המחיר של טיסה לברלין?,order
אני אשמח להזמין טיסה לנכד שלי,order
איך אני יכול לבטל כרטיס טיסה,refund
איך ניתן לבטל את כרטיס הטיסה שלי,refund
ברצוני לבטל את הטיסה שלי שהייתה אמורה להתקיים מחר,refund
מהן האפשרויות לקבלת החזר כספי עבור ביטול כרטיס טיסה?,refund
רציתי לבטל רק חלק מהכרטיסים שהזמנתי.,refund
אני רוצה לבטל את הטיסה שלי מחר לברלין,refund
הזמנתי כרטיס טיסה לניו יורק ואני צריך לבטל,refund
לא בא לי לטוס,refund
האם אני צריך לשלם עמלה כדי לקבל החזר כספי?,refund
אשתי בהריון ואסור לנו לטוס,refund
כמה אחוז מעלות הכרטיס אני מקבל בעת ביטול?,refund
האם ניתן לבטל כרטיס טיסה דרך הצאט בוט?,refund
האם ניתן לבטל את הטיסה שלי?,refund
אני צריך לבטל את הטיסה של מחר ללונדון,refund
מהן אופציות ביטול כרטיס?,refund
האם ניתן לקבל שובר?,refund
אני אשמח לבטל את כרטיס הטיסה שלי,refund
